message_id,url_id,url_host_defanged,url_length,hostname_length,path_length,path_depth,digit_ratio,special_ratio,subdomain_count,has_ip_literal,has_port,has_punycode,has_at_symbol,is_malformed,suspicious_token_count,hostname_entropy
msg-2e769242afc768e6b1a9,url-bb2afdd975a49031979c,hxxps://bit[.]ly,14,6,8,1,0.07142857142857142,0.14285714285714285,0,0,0,0,0,0,0,2.584962500721156
msg-68f7265e95dbf8bf71cc,url-a4273fef41313f530f5e,hxxps://m[.]site[.]naver[.]com,22,16,6,1,0.045454545454545456,0.18181818181818182,2,0,0,0,0,0,0,3.452819531114783
msg-0c4503b12a5adc4aa2e5,url-23c83727d01639365ecf,hxxps://www[.]gbelib[.]kr,18,13,5,1,0.0,0.16666666666666666,1,0,0,0,0,0,0,3.0269868333592873
msg-167ea8545569f5653042,url-49bfe5c8acc6dc6972ca,hxxp://l[.]point,7,7,0,0,0.0,0.14285714285714285,0,0,0,0,0,0,0,2.8073549220576037
msg-167ea8545569f5653042,url-d369fbceb6346dbe35c0,hxxp://l[.]point,7,7,0,0,0.0,0.14285714285714285,0,0,0,0,0,0,0,2.8073549220576037
msg-167ea8545569f5653042,url-446633d5039e3c2edae3,hxxps://on[.]lotteon[.]com,21,14,7,1,0.0,0.14285714285714285,1,0,0,0,0,0,0,2.8073549220576037
msg-167ea8545569f5653042,url-f62d9c80cb06c72b66a6,hxxp://l[.]point,7,7,0,0,0.0,0.14285714285714285,0,0,0,0,0,0,0,2.8073549220576037
msg-167ea8545569f5653042,url-c4c4227d97812c725490,hxxp://l[.]point,7,7,0,0,0.0,0.14285714285714285,0,0,0,0,0,0,0,2.8073549220576037
msg-034c31be460bbcd27ccd,url-54a51f19b1bae1150a5b,hxxps://evers14[.]co[.]kr,23,13,10,1,0.13043478260869565,0.13043478260869565,1,0,0,0,0,0,0,3.238901256602631
msg-034c31be460bbcd27ccd,url-1b4c56bf8b87a4d648ae,hxxp://pf[.]kaao[.]com,18,11,7,1,0.0,0.2222222222222222,1,0,0,0,0,0,0,2.913977073182752
msg-034c31be460bbcd27ccd,url-cdf65007f2fd5400a302,hxxps://alie[.]kr,15,7,8,1,0.06666666666666667,0.13333333333333333,0,0,0,0,0,0,0,2.8073549220576037
msg-f34071cb9ca0d30456ed,url-93408af22271755fa1d2,hxxps://m[.]blog[.]naver[.]com,37,16,21,2,0.35135135135135137,0.13513513513513514,2,0,0,0,0,0,0,3.452819531114783
msg-f34071cb9ca0d30456ed,url-b6d34be0a7d4b097da32,hxxps://gounmi[.]net,98,10,4,1,0.1836734693877551,0.11224489795918367,0,0,0,0,0,0,0,3.1219280948873624
msg-f34071cb9ca0d30456ed,url-0b8ddf565b212fb2f952,hxxps://gounmi[.]net,20,10,10,1,0.45,0.1,0,0,0,0,0,0,0,3.1219280948873624
msg-f34071cb9ca0d30456ed,url-808ec7bd6324d3d18830,hxxps://booking[.]naver[.]com,41,17,24,4,0.1951219512195122,0.14634146341463414,1,0,0,0,0,0,0,3.572469458770135
msg-f34071cb9ca0d30456ed,url-3193101960cb470ebbd5,hxxps://gounmi[.]net,10,10,0,0,0.0,0.1,0,0,0,0,0,0,0,3.1219280948873624
msg-044661e6e263e97a92a9,url-9058b8d06fb61590d659,hxxps://me[.]shinhan[.]com,23,14,9,1,0.043478260869565216,0.13043478260869565,1,0,0,0,0,0,0,3.2359263506290326
msg-6f25fa8b23e8b644ae16,url-d44fe706dc56d81c2bad,hxxps://bit[.]ly,22,6,16,1,0.36363636363636365,0.09090909090909091,0,0,0,0,0,0,0,2.584962500721156
msg-118d645e0e8029bfbdde,url-7f8013db4072bb0ab00c,hxxps://m[.]site[.]naver[.]com,22,16,6,1,0.045454545454545456,0.18181818181818182,2,0,0,0,0,0,0,3.452819531114783
msg-83cece7b0f1d36f948ea,url-2f6e64e1b03f11230321,hxxps://evers14[.]co[.]kr,17,13,4,1,0.29411764705882354,0.17647058823529413,1,0,0,0,0,0,0,3.238901256602631
msg-83cece7b0f1d36f948ea,url-cbe21c102d8fde5ae33f,hxxp://pf[.]kakao[.]com,19,12,7,1,0.0,0.21052631578947367,1,0,0,0,0,0,0,2.918295834054489
msg-83cece7b0f1d36f948ea,url-9b8224ceb6b100d6b6ac,hxxps://alie[.]kr,15,7,8,1,0.06666666666666667,0.13333333333333333,0,0,0,0,0,0,0,2.8073549220576037
